FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3137, fi_cycle=1209925, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=49, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4377, fi_cycle=366792, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=41, opcode=sub
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3121, fi_cycle=2118154, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=16, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2635, fi_cycle=1020565, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=52, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3183, fi_cycle=612184, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=22, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=1391, fi_cycle=2353409, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=15, opcode=getelementptr
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3133, fi_cycle=2728555, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=5, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4374, fi_cycle=2478812, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=29, opcode=mul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2627, fi_cycle=3524736, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=11, opcode=add
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2560, fi_cycle=1575896, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=21, opcode=add
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4386, fi_cycle=1275573, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=35, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3032, fi_cycle=1450133, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=7, opcode=load
